Category,Node Count,Edge Count,Time Ratio,Cost Ratio
10-1-100-r,10,29,4.0,4.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,23,1.3,1.2
10-1-100-r,10,29,1.21,1.2
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,25,1.14,0.8
10-1-100-r,10,27,1.0,1.0
10-1-100-r,10,30,1.14,1.14
10-1-100-r,10,29,1.01,1.0
10-1-100-r,10,24,1.0,1.0
10-1-100-r,10,27,1.0,1.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,20,4.0,4.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,23,1.0,1.0
10-1-100-r,10,24,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,25,1.0,1.0
10-1-100-r,10,24,1.0,1.0
10-1-100-r,10,25,1.65,0.75
10-1-100-r,10,26,1.87,1.2
10-1-100-r,10,27,1.0,1.0
10-1-100-r,10,20,1.0,1.0
10-1-100-r,10,26,4.0,4.0
10-1-100-r,10,28,2.18,1.67
10-1-100-r,10,23,1.17,2.0
10-1-100-r,10,25,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,26,4.0,4.0
10-1-100-r,10,30,1.0,1.0
10-1-100-r,10,25,1.0,1.0
10-1-100-r,10,26,1.0,1.0
10-1-100-r,10,23,1.0,1.0
10-1-100-r,10,28,1.0,1.0
10-1-100-r,10,30,1.36,1.2
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,11,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,12,1.04,1.0
10-1-100-t,10,14,2.12,0.75
10-1-100-t,10,14,1.33,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,15,1.08,0.4
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,10,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,15,1.0,1.0
10-1-100-t,10,13,1.0,1.0
10-1-100-t,10,14,1.76,1.0
10-1-100-t,10,14,1.0,1.0
