Category,Node Count,Edge Count,Time Ratio,Cost Ratio
10-1-100,8,19,1.0,12.0
10-1-100,8,17,1.0,1.33
10-1-100,8,21,1.46,3.25
10-1-100,8,19,2.31,4.0
10-2-100,8,28,1.0,11.0
10-2-100,8,18,1.0,1.0
10-2-100,8,21,1.3,2.33
10-2-100,8,21,1.0,1.5
10-2-100,8,23,1.0,6.0
10-2-100,8,27,1.0,1.0
10-2-100,8,18,1.32,4.0
10-2-100,8,23,1.0,5.0
10-2-100,8,21,1.7,0.67
10-1-100,8,22,1.0,2.6
10-1-100,8,22,1.0,1.0
10-1-100,8,23,1.0,20.0
10-1-100,8,22,1.0,6.0
10-2-100,8,19,1.0,4.5
10-2-100,8,24,1.0,2.17
10-2-100,8,21,1.2,2.5
10-2-100,8,20,1.03,2.67
10-1-100,8,21,4.62,3.0
10-1-100,8,23,2.54,2.0
10-1-100,8,17,2.79,0.67
10-1-100,8,18,1.0,6.5
10-2-100,8,27,1.0,1.0
10-2-100,8,27,1.83,0.67
10-1-100,8,16,1.95,7.0
10-2-100,8,23,1.83,2.0
10-2-100,8,21,13.2,2.0
10-2-100,8,21,2.21,2.0
10-1-100,8,16,1.0,4.0
10-1-100,8,19,1.0,3.0
10-1-100,8,19,1.02,2.0
10-1-100,8,19,2.47,2.0
10-2-100,8,23,1.0,1.33
10-2-100,8,27,4.3,2.0
10-2-100,8,27,1.21,1.2
10-1-100,8,21,1.0,1.33
10-1-100,8,21,1.39,2.0
10-1-100,8,21,1.0,6.5
10-1-100,8,21,1.5,0.67
10-1-100,8,23,1.0,3.25
10-1-100,8,21,1.0,2.4
10-1-100,8,20,1.0,1.0
10-1-100,8,18,1.0,14.0
10-1-100,8,24,1.0,1.33
10-2-100,8,25,1.0,3.25
10-1-100,8,18,8.4,3.0
10-2-100,8,20,3.17,0.67
10-2-100,8,21,1.61,2.0
10-2-100,8,24,2.48,2.0
10-1-100,8,22,5.6,1.0
10-2-100,9,32,2.2,3.4
10-2-100,9,32,1.0,4.25
10-2-100,9,36,2.59,3.0
10-1-100,9,23,1.0,1.0
10-1-100,9,21,1.0,1.14
10-1-100,9,22,1.0,1.67
10-1-100,9,27,1.0,2.5
10-1-100,9,27,1.0,20.0
10-1-100,9,23,1.0,1.0
10-1-100,9,21,2.0,1.25
10-1-100,9,20,1.0,2.6
10-1-100,9,18,1.0,5.0
10-2-100,9,34,1.0,4.75
10-1-100,9,18,1.0,16.0
10-1-100,9,23,1.0,15.0
10-2-100,9,33,1.0,14.0
10-2-100,9,28,1.55,2.0
10-2-100,9,31,3.73,2.67
10-1-100,9,20,1.0,3.0
10-1-100,9,20,1.24,1.5
10-1-100,9,24,1.0,18.0
10-1-100,9,20,1.0,3.25
10-2-100,9,27,3.73,1.75
10-1-100,9,22,1.75,2.75
10-1-100,9,18,1.0,2.0
10-1-100,9,21,1.0,11.0
10-1-100,9,25,1.0,4.67
10-1-100,9,19,1.0,4.0
10-1-100,9,24,1.0,1.75
10-2-100,9,31,1.0,20.0
10-1-100,9,26,1.0,3.4
10-2-100,9,36,1.0,5.4
10-2-100,9,26,1.0,2.8
10-2-100,9,25,1.0,1.0
10-2-100,9,34,1.29,5.75
10-2-100,9,36,1.0,3.33
10-2-100,9,26,1.04,2.25
10-2-100,9,24,1.25,4.67
10-2-100,9,35,1.0,12.5
10-2-100,9,36,4.8,3.0
10-1-100,9,20,1.0,1.71
10-1-100,9,18,1.0,1.0
10-2-100,9,24,1.0,3.5
10-2-100,9,29,1.0,11.0
10-2-100,9,34,1.0,7.0
10-1-100,9,18,1.0,1.67
10-2-100,10,39,1.0,5.75
10-1-100,10,23,1.0,3.2
10-1-100,10,20,1.0,1.0
10-1-100,10,24,1.0,18.0
10-1-100,10,22,1.5,1.5
10-1-100,10,24,1.0,5.0
10-1-100,10,22,1.33,5.0
10-1-100,10,26,1.0,3.4
10-2-100,10,30,1.0,1.0
10-1-100,10,22,1.0,2.33
10-1-100,10,28,2.24,3.0
10-1-100,10,30,1.0,1.0
10-2-100,10,41,1.0,9.33
10-2-100,10,30,1.0,1.2
10-1-100,10,23,3.59,6.0
10-2-100,10,44,1.0,7.67
10-2-100,10,42,1.0,5.6
10-1-100,10,29,1.0,16.0
10-1-100,10,22,1.0,20.0
10-1-100,10,24,1.17,2.83
10-2-100,10,44,1.0,14.0
10-2-100,10,41,2.74,1.25
10-2-100,10,38,1.0,24.0
10-2-100,10,44,1.0,6.75
10-1-100,10,23,1.0,1.0
10-1-100,10,30,1.0,6.33
10-1-100,10,29,1.0,5.25
10-2-100,10,35,1.0,23.0
10-1-100,10,26,1.0,6.0
10-1-100,10,22,1.16,2.33
10-1-100,10,24,1.0,3.0
10-1-100,10,25,1.0,4.33
10-2-100,10,41,1.0,1.0
10-2-100,10,37,1.0,3.5
10-2-100,10,41,1.0,24.0
10-2-100,10,36,1.5,7.33
10-2-100,10,34,1.34,1.5
10-2-100,10,41,1.0,3.2
10-2-100,10,39,4.59,3.0
10-2-100,10,33,1.0,4.67
10-2-100,10,32,1.0,9.0
10-2-100,10,40,1.0,13.5
10-1-100,10,29,1.76,8.0
10-1-100,10,27,2.0,2.0
10-1-100,10,29,1.0,8.5
10-1-100,10,30,1.0,2.43
10-1-100,10,24,1.0,1.0
10-1-100,10,25,1.62,4.0
10-2-100,10,30,1.0,4.0
10-2-100,10,33,1.0,7.0
10-2-100,10,34,1.0,7.0
10-2-100,10,36,1.0,8.0
10-1-100,10,27,1.0,3.0
10-2-100,10,41,1.71,3.5
30-1-100,25,71,1.0,4.44
30-1-100,25,58,1.0,5.71
30-1-100,25,58,1.0,5.38
30-1-100,25,50,1.0,1.0
30-1-100,25,74,1.0,11.4
30-1-100,25,56,1.0,4.89
30-1-100,25,62,1.0,16.67
30-1-100,25,51,1.0,11.0
30-1-100,25,71,1.0,10.5
30-1-100,26,77,1.0,1.0
30-1-100,26,61,1.0,1.0
30-1-100,26,69,2.34,2.0
30-1-100,26,67,1.0,1.0
30-1-100,26,71,1.0,15.67
30-1-100,26,78,1.0,7.71
30-1-100,26,55,1.07,2.5
30-1-100,26,53,1.0,10.5
30-1-100,26,55,1.0,1.0
30-1-100,27,66,1.0,11.25
30-1-100,27,62,1.0,6.67
30-1-100,27,57,1.0,13.0
30-1-100,27,70,1.44,6.0
30-1-100,27,73,1.0,17.33
30-1-100,27,62,1.0,15.33
30-1-100,27,81,1.9,1.5
30-1-100,27,69,1.0,13.67
30-1-100,27,66,1.0,1.5
30-1-100,27,77,2.14,5.6
30-1-100,28,84,1.0,6.5
30-1-100,28,84,1.03,1.0
30-1-100,28,58,1.0,2.88
30-1-100,28,71,1.0,11.25
30-1-100,28,59,1.0,1.0
30-1-100,28,64,1.0,9.4
30-1-100,28,64,1.0,11.75
30-1-100,28,80,1.0,51.0
30-1-100,29,59,1.0,23.5
30-1-100,29,60,1.0,49.0
30-1-100,29,71,99.0,4.0
30-1-100,29,76,1.0,3.0
30-1-100,29,59,1.0,2.29
30-1-100,29,64,1.0,1.0
30-1-100,30,71,4.43,3.0
30-1-100,30,80,1.13,0.33
30-1-100,30,88,13.14,4.0
30-1-100,30,68,1.0,1.67
30-1-100,30,81,1.0,5.5
30-1-100,30,88,1.26,2.0
30-1-100,30,66,1.0,1.0
50-1-100,45,101,1.0,9.0
50-1-100,45,92,1.0,11.83
50-1-100,45,101,1.0,36.5
50-1-100,45,100,1.0,1.0
50-1-100,45,123,1.0,28.0
50-1-100,45,113,1.0,11.33
50-1-100,46,114,1.0,1.0
50-1-100,46,124,1.0,31.5
50-1-100,46,129,1.0,12.38
50-1-100,46,99,1.0,3.72
50-1-100,46,112,1.0,12.0
50-1-100,46,107,1.0,16.5
50-1-100,46,109,1.0,35.5
50-1-100,46,137,1.0,20.5
50-1-100,47,110,1.0,9.75
50-1-100,47,129,1.0,13.67
50-1-100,47,114,1.0,21.5
50-1-100,47,106,2.89,1.0
50-1-100,48,127,1.0,1.6
50-1-100,48,122,1.0,8.17
50-1-100,48,134,1.0,32.33
50-1-100,48,119,1.0,40.5
50-1-100,49,142,1.0,1.0
50-1-100,49,130,1.0,22.5
50-1-100,49,99,1.0,11.83
50-1-100,49,117,1.0,6.58
50-1-100,49,120,1.0,12.0
50-1-100,49,116,1.0,1.0
50-1-100,50,128,1.0,1.0
50-1-100,50,104,1.0,26.67
50-1-100,50,139,1.0,53.5
50-1-100,50,130,1.0,13.5
50-1-100,50,101,1.0,1.29
50-1-100,50,125,1.0,17.75
50-1-100,50,150,24.0,2.0
50-1-100,50,123,1.0,14.67
50-1-100,50,139,1.24,2.67
50-1-100,50,141,1.0,11.56
